,Line,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7
818,"Having been wounded with the spirits sword, This sword, God's book",injuries,mystical,weapons__armor,religion,language,,
819,Whom such a coat [as the duchess] keeps up can never fall flat.,clothes,politics,preservation,spatial,physical_activities,,
820,My punishments are their eternall ioyes.,judiciary,time,emotions,,,,
821,"[the aged lion] frees his fury, turns, and rushes back With such a ghastly horror, that in heaps, His proud foes fly",LIFE'S CYCLE,animals,emotions,movement,quantities,social_relations,danger__safety
822,Still as the grave. ,preservation,death,,,,,
823,Aches contract and starve your supple joints!,suffering,food,anatomy,,,,
824,"That one must beÂ Philotas from whose head All this corruption flowes, take him, take all.",anatomy,destruction,movement,,,,
825,"let him crowne my resolution, with An vnexampled dignitie of death.",politics,mental_faculty__state__entities,recognition,death,,,
826,though the treasure Of nature's germens tumble all together even till destruction sicken; ,economics,nature,reproduction,destruction,medicine,,
827,"Though other things grow fair against the sun, Yet fruits that blossom first will first be ripe:",appearance,architecture,nature,food,time,,
828,cold temperature in love,temperature,emotions,,,,,
829,How deiectedly The baser Spirit of our present time Hath cast it selfe below the ancient worth Of our forefathers!,feelings,character_traits__nature,time,consumption,spatial,recognition,familial
830,"Thou dotest upon a diuell, not a woman, That ha's bewitcht thee with her Sorcerie, drown'd your soul in leathy faculties, ",mental_faculty__state__entities,religion,women,mystical,violence,myth,
831,you deserve to pay a ransome Of infinite rate,ethics,economics,incarceration,size,,,
832,myÂ GeniusÂ bee as strong As I am iust.,mystical,physical_attributes,ethics,,,,
833,"More shame, T'out live your virtue and your once great name.",etiquette,life,ethics,language,,,
834,"My thought, whose murder yet is but fantastical, Shakes so my single state of man [self]",mental_faculty__state__entities,violence,politics,character_traits__nature,,,
835,"Stand forth you Vipers, that have suck'd bloud,",commands,animals,food,anatomy,,,
836,"If he [the king] do bleed, I'll gild the faces of the grooms withal;",politics,injuries,economics,anatomy,social_status,,
837,But when they [stars] shine apart they threaten storms And hiddeous tempests to the Marriners,astrology,myth,light,danger__safety,nature,emotions,nautical
838,Opposed trees makes tempests show their power,resistance,nature,appearance,physical_attributes,,,
839,"Euen as a head-strong Courser beares away His Rider, vainely striving him to stay, [So waveringÂ CupidÂ brings me back againe]",character_traits__nature,equestrian,labor,preservation,myth,,
840,"nor that you keep the company of a most Leprous route,",preservation,social_relations,medicine,,,,
841,"Some informer, Blood hound to mischief",language,animals,ethics,,,,
842,Our presence can chase bribery from Lawes:,appearance,hunting__fishing,economics,judiciary,,,
843,"takes virtuous copies to be wicked, like those that under hot ardent zeal would set whole realms on fire: Of such a nature is his politic love.",ethics,language,temperature,devotion,politics,fire,emotions
844,[run to the temple and give thanks] As fast as wishes.,movement,religion,recognition,speed,mental_faculty__state__entities,,
845,"a soft lip that entangles,",sexuality,anatomy,hunting__fishing,,,,
846,"not a peasants entrails you shall find More foul and measled, nor more sterved of mind.",architecture,anatomy,cleaning,medicine,food,mental_faculty__state__entities,
847,"your resolution like a fire, Makes my warme blood boyle",mental_faculty__state__entities,fire,temperature,anatomy,,,
848,in it [the letter] my heart:,spatial,language,anatomy,,,,
849,"Will you be put in mind of his blind fortune, Which was your shame, by this unholy braggart, 'Fore your own eyes and ears?",mental_faculty__state__entities,deformities__disabilities,mystical,etiquette,religion,language,anatomy
850,"[the furies] pale thin face is now puffed up, and swollen with quaffing blood,",myth,physical_attributes,anatomy,size,food,,
851,what a combat duety and affection Breedes in my bloud.,violence,devotion,affection,reproduction,anatomy,,
852,"[Revenge] Laugh gentle Goddess on my bold attempt, Yet in your laughter let pale meager death be wrapt in wrinkels of your murdering spoils.",violence,contempt,religion,physical_attributes,death,clothes,economics
853,in your eyes so lovingly being wed,anatomy,emotions,matrimony,,,,
854,"women must to the wall, though it be to a feather-bed.",women,movement,architecture,domestic,,,
855,"And such a reuerence hath fate giuen her brow, ",character_traits__nature,mystical,anatomy,,,,
856,ÂTis such a high born rapture that the soul Partakes it only.,spatial,labor,emotions,religion,,,
857,"[Phaebe] inthron'd 'mong thoughts So purely good, brings her to heaven on earth.",myth,politics,mental_faculty__state__entities,ethics,religion,nature,
858,"No iarre of clocke, [wakes this charm'd silence],",sounds,time,sleep,mystical,,,
859,A hundred thousand welcomes. ,quantities,greetings,,,,,
860,"scorning The heart he took, by his advised flight, Despised advice as much as his pursuit.",derision__offense___contempt,anatomy,assistance,danger__safety,movement,,
861,nor build yourself a trouble Out of his scattering and unsure observance.,architecture,suffering,feelings,sensations,,,
862,your discreet heart think it. ,concealment,anatomy,mental_faculty__state__entities,,,,
863,"Sing [Syren], and put all the nets into your voice, With which you drew'st into your strumpets lappe The spawne of Venus; and in which ye danc'd;",music,myth,hunting__fishing,sexuality,anatomy,reproduction,joviality
864,A good man's fortune may grow out at heels,ethics,mystical,architecture,anatomy,,,
865,"Within rests barren darknesse, ",spatial,reproduction,darkness,,,,
866,"he that feares the Gods, For guard of any goodness; all things fears; Earth, Seas, and Air; Heaven, darkness, broade day-light, Rumor, and Silence, and his very shade: And what an Aspen soul has such a creature?",emotions,religion,military,ethics,nature,darkness,language
867,"To see likeÂ Banners,Â unlike quarrels have.",sensations,politics,violence,,,,
868,nature's copy's not eterne.,nature,judiciary,time,,,,
869,I'll watch him tame and talk him out of patience;,sensations,education,privation,character_traits__nature,,,
870,"Give me an ounce of civet, good apothecary, to sweeten my imagination:",weight,medicine,sensations,mental_faculty__state__entities,,,
871,"O my eccho! I could stand reuerberating this sweete musicall air of ioy, till I had perish'd my sound lungs with violent laughter.",sounds,nature,emotions,death,anatomy,violence,joviality
872,I'll live again and rouse my sleepy thoughts:,life,sleep,mental_faculty__state__entities,,,,
873,They met so near with their lips that their breaths embraced together.,sexuality,spatial,anatomy,breathing,affection,,
874,"deceit, he quits him with like terms!",deception,social_relations,language,,,,
875,"the last throw, it made Fiue hundred Angels vanish from my sight, Ime damnd, Ime damnd: the Angels haue forsook me",games__sports,quantities,economics,appearance,sensations,religion,privation
876,that besides the full performance of your empty Husbands dutie;,sexuality,spatial,matrimony,devotion,,,
877,"as chaste As that part which scarce suffers to be touched,",sexuality,suffering,sensations,,,,
878,"famous pirates, Make the sea serve them, which they ear and wound With keels of every kind",recognition,nautical,nature,devotion,injuries,,
879,"I was neuer cousend in a woman before, For commonly they are like Apples; If once they bruse They will growe rotten through, and serue for nothing but to asswage swellings.",deception,women,food,injuries,consumption,medicine,
880,Sleep shall neither night nor day Hang upon his penthouse lid;,sleep,time,adhesion,architecture,anatomy,,
881,"drums sound blood & death,",music,anatomy,death,,,,
882,"I'll parley with the Devil, [Â??] He gives his counsel freely, and the cause He for his Clients pleads, goes alwayes with them",language,religion,assistance,economics,judiciary,,
883,his youth and strength of blood drives out this fatal poison and shall live a while.,LIFE'S CYCLE,physical_attributes,anatomy,violence,life,medicine,
884,"Fortune, that arrant whore, Ne'er turns the key to the poor.",mystical,sexuality,time,domestic,economics,,
885,"my heart's on fire, and vnto mine eyes The raging flames ascend, like to two Beacons, Summoning my strongest powers, but all too late, The Conquerour already opes the gate.",anatomy,fire,emotions,spatial,commands,military,architecture
886,"lose advantage, which doth ever cool I' the absence of the needer.",privation,social_relations,temperature,,,,
887,"That I may see the diuell, and suruiue To be a diuell, and then learne to wiue",sensations,religion,preservation,education,matrimony,,
888,woes by wrong imaginations lose The knowledge of themselves.,emotions,deception,mental_faculty__state__entities,privation,,,
889,"As hauing lost his honey, the sweet taste Runs into sauor, and will needs retaine A spice of his first parents, ",privation,food,transformation,preservation,familial,,
890,"Fair gracious Angel of eternal light, Which reachest out that hand of happiness, ",religion,time,light,assistance,anatomy,emotions,
891,"Thrusts forth his horns again into the world; Which were inshell'd when Marcius stood for Rome, And durst not once peep out.",violence,animals,spatial,nature,resistance,politics,sensations
892,"From thence [hight of fortune] have all distempratures their head:That bringes forth desolation, famine, dearth, ",spatial,mystical,social_unrest,anatomy,destruction,food,
